y_2079,y_2082
333474,340970
336426,339754
335813,340012
335106,339842
336290,342794
335017,340128
336693,339610
333873,339488
334325,339540
333802,341025
333778,339552
333786,339478
333384,339583
337144,340889
333355,339463
333196,341655
335039,339775
337012,339568
333387,339400
334683,339542
333330,339403
337650,339967
337560,339393
336963,339699
333810,341568
333583,340111
334818,339421
336682,340581
336415,342687
335500,339449
334416,340855
337717,340235
333378,339382
333813,339661
335082,340071
333976,340219
334149,339725
334605,339614
337522,340178
333212,339351
336962,339848
334008,340372
336105,340011
334501,341465
338056,342319
334707,339521
335341,340375
336133,341128
337983,341574
333619,340767
333667,339918
335485,339853
335197,340656
337527,340760
333198,341436
335513,342768
334469,342657
333658,341392
337552,341906
334309,342193
336066,340632
337262,341886
336802,342795
333487,340689
333381,341053
334202,341015
334941,341375
334576,340452
338874,341994
334337,341703
337827,341281
335579,340018
337597,341342
338235,339504
334114,339929
333847,339923
333230,339356
333562,339385
337973,341170
338013,342037
336720,342002
337293,341078
335383,340599
337122,339812
336433,340917
336464,340625
338779,341771
334988,341049
333261,339381
334632,341250
337607,341069
339215,340154
335998,340864
337184,341461
334970,342263
335255,341034
337682,341808
335680,341117
335269,342560
335075,339524
335377,340417
334154,341652
338169,341327
334160,339522
338439,341317
335429,339341
333922,341969
333982,340576
334293,340515
335914,340409
333620,339349
333811,339327
336240,339549
335644,341166
336448,339940
335396,340747
334430,342508
333506,339611
337692,342210
336396,340797
335711,339448
335324,341057
333822,342033
338724,342746
334729,341809
335618,341204
336381,342296
335455,341649
337109,340467
334940,341109
333183,341223
338386,340601
338204,341622
335569,342278
334712,340587
333411,341460
333350,341032
333486,340027
333321,340816
334390,340033
338145,342218
334679,339497
339029,342574
333253,342737
337838,342751
338294,340395
333235,340004
338807,342179
336480,341177
335110,341361
336274,339711
333707,342156
337508,341134
334477,339904
339133,340618
336103,341549
335596,340974
337460,340494
334216,340399
338924,342541
338721,342677
338834,341585
336515,340518
335411,340810
335240,340320
337773,339404
338471,341872
334071,340827
336180,340914
338680,340293
336319,339796
335419,340196
337969,340474
336528,340716
334343,339576
334168,340830
333353,339780
334404,339642
336125,339804
333240,341304
334584,341382
336302,340971
334219,341885
333416,340660
333591,339409
333953,340985
335292,340085
337564,340646
333904,339359
338234,341089
336081,339536
338592,340949
333592,342290
335839,341579
338891,342500
334640,342754
334116,340951
333848,342017
333268,341280
334760,340369
333301,340972
338354,342730
336214,342459
335768,342661
336784,339979
334858,340506
334762,340851
333577,340842
337137,342222
337336,339896
333192,340620
333959,339487
333310,339768
333393,341524
335645,341977
334051,341966
333644,341868
333635,341205
335524,340388
333690,339911
335565,342093
333215,340026
333867,341547
333322,342115
333390,339664
334600,341791
337370,340875
333868,339383
334969,341470
333630,339483
337849,342595
334030,341087
333242,340025
336713,341737
336219,339366
334532,339753
337542,340390
334982,341696
333559,340541
339213,340233
336183,340983
338653,341005
338800,342763
337386,341300
335943,340724
337740,342555
337631,340317
338743,340083
338163,342539
334172,340715
337926,339746
335093,341497
335338,339499
333886,342016
333278,340640
333346,339303
336235,340034
337698,342364
338590,341992
334112,339719
333456,340046
333175,342464
336455,341532
333400,339337
337792,342129
333405,339345
334905,342632
333610,339906
335713,341102
338015,341664
334018,341241
337279,342288
336032,339443
338267,341145
333471,339615
335687,339531
334415,339991
337408,341359
337335,339862
336057,339921
334569,339858
336876,340681
338983,342065
335566,342088
333435,340052
338546,342262
338017,339604
336459,341920
336341,340067
335015,339864
333479,341377
336175,339726
336435,340185
335241,340641
334851,340207
335027,339322
336418,340916
333251,339640
335130,340220
334909,341567
334144,339411
333298,339339
334684,339502
334366,340782
333777,339305
334060,340028
339163,339880
336539,340230
336409,341996
336493,341671
335860,341739
335561,340055
333396,340743
334298,340937
334016,342054
334277,342099
334548,341391
335003,340820
333537,339730
338077,340210
333414,340701
335735,341266
333361,341989
336944,340136
338022,342394
337889,341059
338697,342128
333728,339939
337435,340355
339196,341592
334558,339915
335099,340090
336407,339547
335833,340629
337677,340768
333427,342029
335668,339760
334794,339442
334500,341200
334093,339501
333933,339372
339143,339703
339182,341535
337881,340619
336140,340992
337500,341130
335815,339621
334495,339953
335186,340637
334511,341215
334977,339809
338334,340984
335758,340773
338113,342005
336848,341011
334525,339720
335995,341907
338799,340244
335449,340037
337800,342233
338553,342638
339095,341523
338269,342655
335439,340825
338047,341186
336707,340015
339003,341408
339122,340989
334754,340150
335562,340611
337471,342150
338990,340744
338257,339960
334997,340443
336952,339857
335373,340378
338390,340505
335177,340644
336058,340513
334398,340642
334855,340533
337181,339314
337931,340246
333226,340927
335286,340502
336311,339392
338039,341016
337655,340868
334023,339601
335434,341686
334313,340616
335427,340717
335369,340979
335866,340465
335325,341026
335926,339419
334561,341277
335700,341163
335486,339333
334874,339869
337001,341116
333295,339405
336753,340586
334568,340871
334065,340531
336497,342440
337376,342468
336162,341820
338755,342291
336267,340478
335404,341000
337628,340134
334425,342051
333281,340691
334186,342455
338233,340526
334519,340240
336918,341176
335528,342523
336611,340862
334002,341407
336847,340719
333860,342324
338409,341836
334894,340523
338350,342644
334117,339433
333263,341239
333835,342056
337054,342731
336249,341210
333490,339591
337599,340708
334958,341364
334036,339546
337621,342447
335670,341819
334498,342684
335306,341366
335298,339593
335222,340050
333201,341776
334906,341561
333654,339425
335148,340092
338857,340521
335799,342322
337129,341165
335272,342487
335013,342392
334147,340750
333565,342153
333417,339318
336729,339481
335226,340817
337716,342543
333624,339873
334676,342556
334698,341936
335643,340157
337819,341249
333369,339319
335576,342191
336349,341881
335346,340547
333940,340553
339207,339709
337648,340584
336370,342387
338805,339737
336749,340545
339007,340579
336796,341115
337203,339535
336631,340021
334690,341288
336463,339694
333760,339865
336553,341060
337214,340356
333699,341458
334341,341869
333264,341851
335641,341312
337347,341299
335867,341514
336748,340385
339063,342592
333732,339685
337822,340421
337337,339860
335071,340151
337108,339445
336077,342140
336122,342197
333552,341846
337613,342195
338988,342624
336844,341339
333187,339321
333320,340190
334937,340147
337664,340635
336365,340423
334244,342023
333585,340608
334740,342143
337533,339532
333661,340973
336675,341884
335192,342341
337946,339903
337850,341847
336984,341862
338299,340567
338097,340771
335754,342166
339055,341321
335808,340981
334752,339311
336927,342205
337325,342563
337651,341297
337484,340572
333685,342365
336967,341687
338396,341863
334802,339702
334140,341691
333182,341849
334113,342367
339191,339931
336287,341487
335574,340000
338421,340772
336850,340982
337422,339312
338133,341295
336044,340612
333408,341732
336440,342549
334857,339844
335788,340613
338971,340834
336477,339475
333734,342164
333180,340968
336153,341121
333762,339924
334922,339707
336558,340549
338747,340788
334238,340159
335984,341092
334402,340401
336721,341044
335720,340158
334161,339470
333923,339510
333528,341483
337934,340206
337566,339712
333493,339738
335424,341668
336437,341442
334796,341318
339040,340628
336165,340172
338795,342567
335318,340371
334456,341090
335775,341047
336605,339513
334240,340211
337524,340921
334200,341356
338720,342703
334012,339399
338824,339831
336107,340471
334097,342299
335008,339398
334282,339429
336577,340840
335347,342110
335750,340277
334388,342310
337339,340275
336512,341143
333237,340088
333645,341792
333648,342502
335085,340329
336131,342271
335958,340472
338407,340658
338262,341552
333747,340670
334507,340062
338395,342675
339218,340089
333572,342463
335888,342305
337322,339774
334942,340516
336005,340270
335850,342671
338483,340853
333686,339374
336288,340890
334392,340106
335232,339822
338221,342062
335709,341225
335944,340729
336307,339954
334538,340267
338628,340924
336832,341409
338224,340105
339100,342712
336283,342060
333759,341794
333939,340475
334156,341781
335131,339376
333891,340845
337515,340702
335599,340058
336886,341346
335766,342471
336281,340266
337066,340272
334490,339772
334194,339609
335208,340990